tick,total_energy,job_queue_len,stop_and_go,total_turning,orders_finished,phase
48.29999999999972,119366.7568818227,21,140,125,1,baseline
48.44999999999972,119865.7461335777,21,140,125,1,baseline
48.59999999999972,120382.2179029277,21,140,125,1,baseline
48.749999999999716,120899.89394171271,21,140,125,1,baseline
48.899999999999714,121430.29743566272,21,140,125,1,baseline
49.04999999999971,121957.30065180773,21,140,125,1,baseline
49.19999999999971,122503.01230506772,21,140,125,1,baseline
49.34999999999971,123051.6570349277,21,140,125,1,baseline
49.49999999999971,123594.72656039274,21,140,125,1,baseline
49.64999999999971,124149.39798572274,21,140,125,1,baseline
49.799999999999706,124704.73361946775,21,140,125,1,baseline
49.949999999999704,125253.68858157774,21,140,125,1,baseline
50.0999999999997,125796.26287205271,21,140,125,1,baseline
50.2499999999997,126342.90109601272,21,140,125,1,baseline
50.3999999999997,126876.6224090477,21,141,125,1,baseline
50.5499999999997,127418.5799173277,21,141,125,1,baseline
50.6999999999997,127909.80118709271,21,143,125,1,baseline
50.849999999999696,128385.60194442773,21,143,125,1,baseline
50.999999999999694,128828.27406243772,21,145,125,1,baseline
51.14999999999969,129481.3126971097,21,145,127,1,baseline
51.29999999999969,129911.7253785847,21,146,127,1,baseline
51.44999999999969,130319.0885201047,21,147,127,1,baseline
51.59999999999969,130716.7915275997,21,147,127,1,baseline
51.74999999999969,131126.51972097968,21,147,127,1,baseline
51.899999999999686,131524.0464060097,21,149,127,1,baseline
52.049999999999685,132754.25686089904,21,150,128,1,baseline
52.19999999999968,133092.71745861907,21,151,128,1,baseline
52.34999999999968,133404.60514994405,21,152,128,1,baseline
52.49999999999968,133827.5118964463,21,152,129,1,baseline
52.64999999999968,134140.64722744128,21,152,129,1,baseline
52.79999999999968,134447.58578407127,21,152,129,1,baseline
52.949999999999676,134740.8810970613,21,152,129,1,baseline
53.099999999999675,135041.28349225127,21,152,129,1,baseline
53.24999999999967,135337.63063423126,21,153,129,1,baseline
53.39999999999967,135738.17311508604,21,153,130,1,baseline
53.54999999999967,136064.18759975603,21,153,130,1,baseline
53.69999999999967,136355.96616119603,21,155,130,1,baseline
53.84999999999967,136757.02111341388,21,155,131,1,baseline
53.999999999999666,137096.38776057388,21,156,131,1,baseline
54.149999999999665,137457.47159164888,21,156,131,1,baseline
54.29999999999966,137845.78656643888,21,156,131,1,baseline
54.44999999999966,138271.52394280888,21,156,131,1,baseline
54.59999999999966,138721.7289513789,21,156,131,1,baseline
54.74999999999966,139174.4799196389,21,156,131,1,baseline
54.89999999999966,139643.5508091639,21,156,131,1,baseline
55.049999999999656,140143.9422717639,21,156,131,1,baseline
55.199999999999655,140634.0123424389,21,157,131,1,baseline
55.34999999999965,141208.06197027682,21,157,132,1,baseline
55.49999999999965,141719.11724024182,21,157,132,1,baseline
55.64999999999965,142218.54010092682,21,158,132,1,baseline
55.79999999999965,142702.4028485618,21,158,132,1,baseline
55.94999999999965,143179.56612102684,21,158,132,1,baseline
56.099999999999646,143673.37218206184,21,158,132,1,baseline
56.249999999999645,144153.3493894868,21,160,132,1,baseline
56.39999999999964,144725.00194735642,21,161,133,1,baseline
56.54999999999964,145298.2955819484,21,161,134,1,baseline
56.69999999999964,145777.47447654838,21,161,134,1,baseline
56.84999999999964,146250.68113953838,21,162,134,1,baseline
56.99999999999964,146766.70587688423,21,163,135,1,baseline
57.149999999999636,147209.67696224924,21,163,135,1,baseline
57.299999999999635,147667.8054114742,21,163,135,1,baseline
57.44999999999963,148118.17235582919,21,163,135,1,baseline
57.59999999999963,148457.78848888417,21,166,135,1,baseline
57.74999999999963,148794.73841513917,21,166,135,1,baseline
57.89999999999963,149086.1484035392,21,168,135,1,baseline
58.04999999999963,149507.09584155728,21,168,136,1,baseline
58.199999999999626,149816.1902670973,21,168,136,1,baseline
58.349999999999625,150139.65595833727,21,168,136,1,baseline
58.49999999999962,150486.73972029725,21,168,136,1,baseline
58.64999999999962,150841.12865378227,21,168,136,1,baseline
58.79999999999962,151211.79319631227,21,168,136,1,baseline
58.94999999999962,151570.74469253226,21,169,136,1,baseline
59.09999999999962,151907.59888664226,21,170,136,1,baseline
59.249999999999616,152259.14991515226,21,170,136,1,baseline
59.399999999999615,152621.56713767227,21,170,136,1,baseline
59.54999999999961,152997.77737166226,21,170,136,1,baseline
59.69999999999961,153375.23426441225,21,170,136,1,baseline
59.84999999999961,153713.4270503473,21,171,136,1,baseline
59.99999999999961,154055.2601801323,21,171,136,1,baseline
60.14999999999961,154390.0941122473,21,172,136,1,baseline
60.299999999999606,154787.03198862294,21,172,137,1,baseline
60.449999999999605,155141.42293842297,21,172,137,1,baseline
60.5999999999996,155460.455780598,21,174,137,1,baseline
60.7499999999996,156012.7865083996,21,174,139,1,baseline
60.8999999999996,156372.59260299458,21,174,139,1,baseline
61.0499999999996,156766.94595075463,21,174,139,1,baseline
61.1999999999996,157173.93814480962,21,174,139,1,baseline
61.349999999999596,157581.54773607457,21,174,139,1,baseline
61.499999999999595,157984.4207620696,21,174,139,1,baseline
61.649999999999594,158424.35618010457,21,174,139,1,baseline
61.79999999999959,158811.3103368946,21,176,139,1,baseline
61.94999999999959,159364.92717475272,21,177,141,1,baseline
62.09999999999959,159822.95406385825,21,177,142,1,baseline
62.24999999999959,160167.65378634326,21,179,142,1,baseline
62.39999999999959,160617.1300340837,21,179,143,1,baseline
62.549999999999585,160962.2531827187,21,180,143,1,baseline
62.699999999999584,161322.00827777872,21,180,143,1,baseline
62.84999999999958,161705.64959788372,21,180,143,1,baseline
62.99999999999958,162059.5402913687,21,181,143,1,baseline
63.14999999999958,162411.12525469373,21,182,143,1,baseline
63.29999999999958,162756.18142118872,21,183,143,1,baseline
63.44999999999958,163104.33336299876,21,184,143,1,baseline
63.599999999999575,163454.39328374874,21,185,143,1,baseline
63.749999999999574,163906.13742526527,21,185,144,1,baseline
63.89999999999957,164302.7244997203,21,185,144,1,baseline
64.04999999999957,164721.9792832353,21,185,144,1,baseline
64.19999999999958,165166.49833800027,21,185,144,1,baseline
64.34999999999958,165643.39691268027,21,185,144,1,baseline
64.49999999999959,166061.8272024153,21,187,144,1,baseline
64.6499999999996,166496.40814416023,21,187,144,1,baseline
64.7999999999996,166928.12148115522,21,188,144,1,baseline
64.9499999999996,167398.98207990025,21,188,144,1,baseline
65.09999999999961,167865.78946510525,21,189,144,1,baseline
65.24999999999962,168423.23180130002,21,189,145,1,baseline
65.39999999999962,168896.347823535,21,189,145,1,baseline
65.54999999999963,169372.010404905,21,189,145,1,baseline
65.69999999999963,169835.18124534003,21,189,145,1,baseline
65.84999999999964,170269.59478623,21,190,145,1,baseline
65.99999999999964,170683.203171525,21,191,145,1,baseline
66.14999999999965,171066.436627695,21,192,145,1,baseline
66.29999999999966,171562.5210788481,21,192,146,2,baseline
66.44999999999966,171944.25055865306,21,192,146,2,baseline
66.59999999999967,172298.5165903431,21,193,146,2,baseline
66.74999999999967,172692.56826761892,21,194,147,2,baseline
66.89999999999968,173082.82407307863,21,195,148,2,baseline
67.04999999999968,173386.70261868363,21,195,148,2,baseline
67.19999999999969,173697.95394853863,23,195,148,2,baseline
67.3499999999997,173983.17829512365,23,196,148,2,baseline
67.4999999999997,174271.4545018386,23,196,148,2,baseline
67.64999999999971,174535.55401737365,23,197,148,2,baseline
67.79999999999971,174788.16103564863,23,198,148,2,baseline
67.94999999999972,175000.0505965986,23,200,148,2,baseline
68.09999999999972,175231.6990636386,23,200,148,2,baseline
68.24999999999973,175485.65957422863,23,200,148,2,baseline
68.39999999999974,175760.56430386862,23,200,148,2,baseline
68.54999999999974,176048.7209719086,23,200,148,2,baseline
68.69999999999975,176306.86220655363,23,202,148,2,baseline
68.84999999999975,176685.61649364696,23,203,149,2,baseline
68.99999999999976,177057.0530931875,23,203,150,2,baseline
69.14999999999976,177328.1858034875,23,204,150,2,baseline
69.29999999999977,177601.04042344246,23,204,150,2,baseline
69.44999999999978,177885.44098468253,23,204,150,2,baseline
69.59999999999978,178108.42284718252,23,206,150,2,baseline
69.74999999999979,178406.3470005954,23,206,151,2,baseline
69.89999999999979,178632.09473346538,23,206,151,2,baseline
70.0499999999998,178832.6878935204,23,207,151,2,baseline
70.1999999999998,179111.97931399007,23,207,152,2,baseline
70.34999999999981,179279.61229433506,23,208,152,2,baseline
70.49999999999982,179431.5334241951,23,209,152,2,baseline
70.64999999999982,179676.81251619555,23,209,153,2,baseline
70.79999999999983,179886.80181194746,23,211,154,2,baseline
70.94999999999983,180085.91481388907,23,211,155,2,baseline
71.09999999999984,180224.8684069691,23,211,155,2,baseline
71.24999999999984,180374.39715183413,23,211,155,2,baseline
71.39999999999985,180534.5010484841,23,211,155,2,baseline
71.54999999999986,180714.3744621791,23,211,155,2,baseline
71.69999999999986,180908.66343043908,23,211,155,2,baseline
71.84999999999987,181106.9427327941,23,211,155,2,baseline
71.99999999999987,181322.7207299741,23,211,155,2,baseline
72.14999999999988,181545.9590225891,23,212,155,2,baseline
72.29999999999988,181745.65495360913,23,213,155,2,baseline
72.44999999999989,181960.1029847441,23,213,155,2,baseline
72.5999999999999,182202.82499148414,23,213,155,2,baseline
72.7499999999999,182484.98906235414,23,213,155,2,baseline
72.8999999999999,182798.7564652841,23,213,155,2,baseline
73.04999999999991,183117.16978494413,23,214,155,2,baseline
73.19999999999992,183446.59065864413,23,214,155,2,baseline
73.34999999999992,183797.27595622913,23,214,155,2,baseline
73.49999999999993,184155.0335604191,23,214,155,2,baseline
73.64999999999993,184493.30262378408,23,215,155,2,baseline
73.79999999999994,184821.17045226414,23,215,155,2,baseline
73.94999999999995,185123.98354276916,23,216,155,2,baseline
74.09999999999995,185390.10731400413,23,218,155,2,baseline
74.24999999999996,185740.39633800703,23,218,156,2,baseline
