item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,item_class_old
14616009001,正高金門高粱醋 600cc,31.0,24.0,31.0,23064.0,13.94,12.0,1922.0,PCS,14.0,0.9256345727571208,6.059,3.992,103,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12]","[2, 3, 1, 1, 2, 1, 2, 1, 1, 3]",3,12,3
14616013001,工研素食烏醋(大) 600ml,31.0,24.0,26.0,19344.0,11.59,12.0,1612.0,PCS,28.0,0.8584190263495608,1.143,0.591,32,"[1, 2, 4]","[26, 1, 1]",3,2,3
14616017001,萬家香珍釀白醋 600ml,32.0,25.0,26.0,20800.0,11.25,12.0,1733.3,PCS,26.0,0.8662255629072849,1.259,0.526,34,"[1, 2, 3]","[21, 5, 1]",3,2,3
14616018001,白兔牌上烏醋,29.0,22.0,30.0,19140.0,11.34,12.0,1595.0,PCS,13.0,0.9317378043699271,1.538,0.519,20,"[1, 2]","[6, 7]",3,3,3
14616019001,家福超值白醋,33.0,33.0,32.0,34848.0,20.78,6.0,5808.0,PCS,29.0,0.8540057665705572,1.355,0.709,42,"[1, 2, 3, 4]","[23, 6, 1, 1]",3,3,3
14616020001,經典巴薩米克銀級摩典那酒醋,23.0,16.0,23.0,8464.0,5.86,12.0,705.3,PCS,3.0,0.9913301444975916,1.0,0.0,3,[1],[3],3,1,3
14616021001,工研業務烏醋 3000ml,37.0,30.0,32.0,35520.0,21.0,6.0,5920.0,PCS,16.0,0.9145080915318078,1.176,0.393,20,"[1, 2]","[14, 3]",3,2,3
14616022001,工研業務白醋 3000ml,37.0,30.0,32.0,35520.0,21.0,6.0,5920.0,PCS,17.0,0.909554840752654,1.294,0.686,22,"[1, 2, 3]","[14, 1, 2]",3,3,3
14616026001,高印五印醋,30.0,23.0,25.0,17250.0,10.4,12.0,1437.5,PCS,7.0,0.9676905384910252,2.25,3.151,18,"[1, 2, 10]","[6, 1, 1]",3,6,3
14616033001,恆順鎮江香醋 550ml,32.0,26.0,28.0,23296.0,12.46,12.0,1941.3,PCS,10.0,0.9497708371527142,1.3,0.483,13,"[1, 2]","[7, 3]",3,2,3
14616037001,十全烏醋240ml,24.0,19.0,21.0,9576.0,5.37,12.0,798.0,PCS,1.0,0.9994200096665056,1.0,0.0,1,[1],[1],1,1,1
14616038001,工研陳年醋 600ml,31.0,24.0,26.0,19344.0,11.27,12.0,1612.0,PCS,5.0,0.9798803353277444,3.833,4.665,23,"[1, 7, 12]","[4, 1, 1]",3,10,3
14616044001,榖盛糯米醋 600ml,30.0,24.0,27.0,19440.0,11.78,12.0,1620.0,PCS,3.0,0.9913401443309278,1.8,0.837,9,"[1, 2, 3]","[2, 2, 1]",3,4,3
14616048001,十全高梁醋700ml,26.0,18.0,27.0,12636.0,7.21,6.0,2106.0,PCS,2.0,0.9959700671655471,7.0,0.0,14,[7],[2],3,7,3
14616053001,萬家香水果醋 595ml,32.0,25.0,26.0,20800.0,13.17,12.0,1733.3,PCS,1.0,0.9994233429442844,4.0,0.0,4,[4],[1],1,4,1
14616054001,萬家香特級烏醋 595ml,33.0,25.0,26.0,21450.0,12.28,12.0,1787.5,PCS,44.0,0.8032799453342444,1.609,1.626,74,"[1, 2, 4, 7, 10]","[33, 10, 1, 1, 1]",3,4,3
14616060001,工研無糖蘋果醋 600ml,30.0,24.0,27.0,19440.0,12.27,12.0,1620.0,PCS,6.0,0.9738771020482992,2.714,3.729,19,"[1, 3, 11]","[5, 1, 1]",4,8,4
14616075001,趙王牌金門特級高粱醋600ml,31.0,23.0,31.0,22103.0,12.81,12.0,1841.9,PCS,1.0,0.9994266762220628,5.0,0.0,5,[5],[1],3,5,3
14616108001,味榮有機烏醋,24.0,19.0,24.0,10944.0,6.3,12.0,912.0,PCS,2.0,0.9959767337211046,1.0,0.0,2,[1],[2],3,1,3
14616194001,有機白醋,24.0,19.0,24.0,10944.0,6.3,12.0,912.0,PCS,2.0,0.995983400276662,1.0,0.0,2,[1],[2],4,1,4
14616195001,有機糙米醋,24.0,19.0,24.0,10944.0,6.3,12.0,912.0,PCS,2.0,0.9959900668322196,1.0,0.0,2,[1],[2],4,1,4
14616203001,萬家香水果料理醋595ml,33.0,25.0,26.0,21450.0,12.3,12.0,1787.5,PCS,4.0,0.9859569007183212,1.25,0.5,5,"[1, 2]","[3, 1]",3,2,3
14620001001,味王XO醬油590ml,33.0,25.0,26.0,21450.0,12.568,12.0,1787.5,PCS,12.0,0.9374677088715188,3.667,4.119,44,"[1, 2, 6, 12]","[4, 5, 1, 2]",3,8,3
14620006001,龜甲萬甘醇薄鹽醬油1600ml,34.0,22.0,28.0,20944.0,11.95,6.0,3490.7,PCS,182.0,0.5308111531474475,1.686,1.911,312,"[1, 2, 3, 4, 5, 6, 8, 10, 12, 14]","[135, 33, 5, 1, 2, 3, 2, 1, 2, 1]",2,4,2
14620007001,丸莊甘醇醬油,29.0,23.0,24.0,16008.0,11.0,12.0,1334.0,PCS,4.0,0.9859702338294362,1.0,0.0,4,[1],[4],3,1,3
14620012001,雀巢美極鮮味露200ml,40.0,28.0,20.0,22400.0,10.772,24.0,933.3,PCS,8.0,0.9619373010449824,2.125,2.1,17,"[1, 2, 3, 7]","[5, 1, 1, 1]",3,5,3
14620014001,龜甲萬甘醇醬油 1600ml,33.0,23.0,28.0,21252.0,12.21,6.0,3542.0,PCS,234.0,0.4629022849619173,2.218,3.301,559,"[1, 2, 3, 4, 5, 6, 9, 11, 12, 13, 16, 18, 22, 23, 27]","[161, 50, 10, 9, 3, 9, 1, 1, 2, 1, 1, 1, 1, 1, 1]",2,11,2
14620019001,龜甲萬甘醇醬油 500cc,32.0,25.0,26.0,20800.0,10.9,12.0,1733.3,PCS,21.0,0.888868518858019,2.727,1.486,60,"[1, 3, 4]","[9, 1, 12]",3,5,3
14620021001,統一龜甲萬甘甜醬油 500ml,32.0,25.0,26.0,20800.0,11.13,12.0,1733.3,PCS,59.0,0.7660005666572224,1.517,1.321,91,"[1, 2, 3, 4, 7, 8]","[46, 8, 2, 2, 1, 1]",3,3,3
14620022001,味榮極釀級有機黑豆蔭油露320ml,27.0,21.0,23.0,13041.0,8.0,12.0,1086.8,PCS,1.0,0.9994300094998416,1.667,1.155,5,"[1, 3]","[2, 1]",3,7,3
14620024001,李錦記蒸魚醬油 410ml,28.0,22.0,27.0,16632.0,11.206,12.0,1386.0,PCS,22.0,0.8842819286345227,1.227,0.429,27,"[1, 2]","[17, 5]",3,2,3
14620028001,黑豆桑天然頂級黑金醬油-550ml,36.0,26.0,23.0,21528.0,16.5,12.0,1794.0,PCS,4.0,0.985983566940551,2.0,1.414,8,"[1, 2, 4]","[2, 1, 1]",3,4,3
14620029001,李錦記頭道醇鮮醬油,30.0,24.0,27.0,19440.0,12.192,12.0,1620.0,PCS,4.0,0.9859969000516658,1.0,0.0,4,[1],[4],3,1,3
14620030001,龜甲萬珍釀醬油 1.6L,34.0,23.0,27.0,21114.0,10.0,6.0,3519.0,PCS,103.0,0.6617456375727071,2.101,3.294,229,"[1, 2, 3, 4, 5, 6, 10, 12, 19, 24]","[74, 24, 1, 1, 1, 3, 1, 2, 1, 1]",3,6,3
14620033001,李錦記頭道減鹽醬油,30.0,24.0,27.0,19440.0,12.18,12.0,1620.0,PCS,1.0,0.9994333427776204,2.0,0.0,2,[2],[1],1,2,1
14620034001,義美全豆純釀造薄鹽醬油,32.0,25.0,30.0,24000.0,14.2,12.0,2000.0,PCS,2.0,0.9959967333877768,1.5,0.707,3,"[1, 2]","[1, 1]",3,3,3
14620035001,金蘭松露醬油 500ml,24.0,17.0,27.0,11016.0,5.9,6.0,1836.0,PCS,1.0,0.9994366760553992,1.0,0.0,1,[1],[1],3,1,3
14620036001,黑豆桑古早金豆醬油-550ml,36.0,26.0,23.0,21528.0,16.5,12.0,1794.0,PCS,6.0,0.9738971017149716,2.167,1.941,13,"[1, 2, 6]","[3, 2, 1]",3,5,3
14620039001,統一龜甲萬薄鹽醬油500ml,32.0,26.0,26.0,21632.0,10.87,12.0,1802.7,PCS,8.0,0.9619639672672122,2.0,2.291,18,"[1, 2, 8]","[6, 2, 1]",3,5,3
14620042001,金蘭醬油2L,35.0,23.0,32.0,25760.0,15.18,6.0,4293.3,PCS,77.0,0.7190713488108531,4.938,7.431,395,"[1, 2, 3, 4, 6, 8, 11, 12, 24, 49]","[35, 11, 4, 3, 15, 1, 1, 5, 4, 1]",3,13,3
14620046001,雅媽吉日式香菇醬油500ml,31.0,23.0,21.0,14973.0,9.78,12.0,1247.8,PCS,4.0,0.9860102331627806,3.5,2.51,21,"[1, 2, 5, 7]","[2, 1, 2, 1]",3,8,3
14620048001,金蘭甲等醬油業務用5L,34.0,33.0,31.0,34782.0,25.5,4.0,8695.5,PCS,7.0,0.967713871435476,1.571,0.787,11,"[1, 2, 3]","[4, 2, 1]",3,3,3
14620051001,屏大薄鹽醬油,49.0,33.0,25.0,40425.0,22.7,24.0,1684.4,PCS,27.0,0.8622156297395044,1.37,0.742,37,"[1, 2, 3, 4]","[20, 5, 1, 1]",3,3,3
14620057001,金蘭薄鹽醬油 500ml,30.0,23.0,26.0,17940.0,11.4,12.0,1495.0,PCS,60.0,0.76284395260079,1.574,1.617,96,"[1, 2, 3, 4, 6, 12]","[45, 10, 3, 1, 1, 1]",3,4,3
14620058001,李錦記頭道蠔鮮醬油,30.0,24.0,27.0,19440.0,12.652,12.0,1620.0,PCS,6.0,0.9739171013816436,1.167,0.408,7,"[1, 2]","[5, 1]",3,2,3
14620060001,味王婦友純釀造醬油1600ml,34.0,24.0,29.0,23664.0,11.82,6.0,3944.0,PCS,8.0,0.9619906334894418,6.0,3.406,66,"[1, 3, 5, 6, 12]","[1, 2, 1, 5, 2]",3,12,3
14620061001,有機豆麥醬油,27.0,21.0,30.0,17010.0,10.1,12.0,1417.5,PCS,3.0,0.991350144164264,2.667,2.887,8,"[1, 6]","[2, 1]",1,6,1
14620062001,萬家香大吟釀醬油1L,37.0,28.0,27.0,27972.0,15.55,12.0,2331.0,PCS,93.0,0.6780220329661172,2.455,3.198,243,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14]","[72, 7, 3, 2, 1, 3, 1, 1, 2, 3, 1, 3]",3,6,3
